Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.262			0.0037			0.000	0.000			0.0000			0.000	0.000			0.0000		
0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	-0.017	-0.175		-2.5000E-4	-0.003		0.050	0.576	6.981		0.0083	0.100		0.050	0.000	0.175		0.0000	0.003		0.050	0.035	1.047		5.0000E-4	0.015	
0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	-0.017	-0.175	1.745	-2.5000E-4	-0.002	0.025	0.100	0.960	8.203	22.689	0.0137	0.117	0.325	0.100	0.017	0.349	1.745	2.5000E-4	0.005	0.025	0.100	0.105	1.571	12.217	0.0015	0.022	0.175
0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	-0.035	0.000	8.727	-5.0000E-4	0.000	0.125	0.150	1.396	9.250	22.689	0.0200	0.132	0.325	0.150	0.035	0.349	3.491	5.0000E-4	0.005	0.050	0.150	0.192	2.269	15.708	0.0027	0.032	0.225
0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	-0.017	0.698	13.963	-2.5000E-4	0.010	0.200	0.200	1.885	10.472	24.435	0.0270	0.150	0.350	0.200	0.052	0.698	12.217	7.5000E-4	0.010	0.175	0.200	0.332	3.142	13.963	0.0047	0.045	0.200
0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.035	1.396	15.708	5.0000E-4	0.020	0.225	0.250	2.443	11.694	24.435	0.0350	0.167	0.350	0.250	0.105	1.571	15.708	0.0015	0.022	0.225	0.250	0.506	3.665	12.217	0.0072	0.052	0.175
0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.122	2.269	17.453	0.0018	0.032	0.250	0.300	3.054	12.915	22.689	0.0438	0.185	0.325	0.300	0.209	2.269	13.963	0.0030	0.032	0.200	0.300	0.698	4.363	13.963	0.0100	0.062	0.200
0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.262	3.142	15.708	0.0037	0.045	0.225	0.350	3.735	13.963	20.944	0.0535	0.200	0.300	0.350	0.332	2.967	15.708	0.0047	0.043	0.225	0.350	0.942	5.061	12.217	0.0135	0.073	0.175
0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.436	3.840	13.963	0.0062	0.055	0.200	0.400	4.451	15.010	24.435	0.0637	0.215	0.350	0.400	0.506	3.840	13.963	0.0072	0.055	0.200	0.400	1.204	5.585	12.217	0.0173	0.080	0.175
0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.646	4.538	13.963	0.0092	0.065	0.200	0.450	5.236	16.406	24.435	0.0750	0.235	0.350	0.450	0.716	4.363	12.217	0.0103	0.063	0.175	0.450	1.501	6.283	12.217	0.0215	0.090	0.175
0.500	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	0.890	5.236	13.963	0.0128	0.075	0.200	0.500	6.091	17.453	22.689	0.0873	0.250	0.325	0.500	0.942	5.061	15.708	0.0135	0.072	0.225	0.500	1.833	6.807	12.217	0.0262	0.097	0.175
0.550	0.000	0.000	0.000	0.0000	0.000	0.000	0.550	0.000	0.000	0.000	0.0000	0.000	0.000	0.550	0.000	0.000	0.000	0.0000	0.000	0.000	0.550	0.000	0.000	0.000	0.0000	0.000	0.000	0.550	1.169	5.934	12.217	0.0168	0.085	0.175	0.550	6.981	18.675	24.435	0.1000	0.267	0.350	0.550	1.222	5.934	13.963	0.0175	0.085	0.200	0.550	2.182	7.505	15.708	0.0313	0.107	0.225
0.600	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	0.000	0.000		0.0000	0.000		0.600	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	1.484	6.458	12.217	0.0213	0.093	0.175	0.600	7.959	19.897	20.944	0.1140	0.285	0.300	0.600	1.536	6.458	12.217	0.0220	0.093	0.175	0.600	2.583	8.378	15.708	0.0370	0.120	0.225
0.650	0.000	0.000	0.000	0.0000	0.000	0.000	0.650	0.000	0.000	0.000	0.0000	0.000	0.000								0.650	0.000	0.000	0.000	0.0000	0.000	0.000	0.650	1.815	7.156	13.963	0.0260	0.103	0.200	0.650	8.971	20.769	20.944	0.1285	0.298	0.300	0.650	1.868	7.156	13.963	0.0268	0.103	0.200	0.650	3.019	9.076	12.217	0.0433	0.130	0.175
0.700	0.000	0.000	0.000	0.0000	0.000	0.000	0.700	0.000	0.000	0.000	0.0000	0.000	0.000								0.700	0.000	0.000	0.000	0.0000	0.000	0.000	0.700	2.199	7.854	13.963	0.0315	0.112	0.200	0.700	10.036	21.991	24.435	0.1438	0.315	0.350	0.700	2.251	7.854	12.217	0.0323	0.113	0.175	0.700	3.491	9.599	12.217	0.0500	0.138	0.175
0.750	0.000	0.000	0.000	0.0000	0.000	0.000	0.750	0.000	0.000	0.000	0.0000	0.000	0.000								0.750	0.000	0.000	0.000	0.0000	0.000	0.000	0.750	2.601	8.552	13.963	0.0372	0.123	0.200	0.750	11.170	23.213	24.435	0.1600	0.332	0.350	0.750	2.653	8.378	12.217	0.0380	0.120	0.175	0.750	3.979	10.297	13.963	0.0570	0.148	0.200
0.800	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	0.000	0.000		0.0000	0.000									0.800	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	3.054	9.250	12.217	0.0438	0.132	0.175	0.800	12.357	24.435	24.435	0.1770	0.350	0.350	0.800	3.089	9.076	15.708	0.0442	0.130	0.225	0.800	4.520	10.996	12.217	0.0647	0.157	0.175
