Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #7	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #8	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9	Run #9	Run #10	Run #10	Run #10	Run #10	Run #10	Run #10	Run #10	Run #11	Run #11	Run #11	Run #11	Run #11	Run #11	Run #11	Run #12	Run #12	Run #12	Run #12	Run #12	Run #12	Run #12
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.262			0.0037			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	-0.785			-0.0112			0.000	-0.105			-0.0015			0.000	0.157			0.0023		
0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	-0.017	-0.175		-2.5000E-4	-0.003		0.050	0.576	6.981		0.0083	0.100		0.050	0.000	0.175		0.0000	0.003		0.050	0.035	1.047		5.0000E-4	0.015		0.050	0.000	-0.175		0.0000	-0.003		0.050	-1.501	-11.345		-0.0215	-0.163		0.050	-0.279	-3.665		-0.0040	-0.052		0.050	0.367	4.363		0.0052	0.062	
0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	-0.017	-0.175	1.745	-2.5000E-4	-0.002	0.025	0.100	0.960	8.203	22.689	0.0137	0.117	0.325	0.100	0.017	0.349	1.745	2.5000E-4	0.005	0.025	0.100	0.105	1.571	12.217	0.0015	0.022	0.175	0.100	-0.017	-0.175	3.491	-2.5000E-4	-0.002	0.050	0.100	-1.920	-5.061	104.720	-0.0275	-0.072	1.500	0.100	-0.471	-4.189	-13.963	-0.0067	-0.060	-0.200	0.100	0.593	4.887	13.963	0.0085	0.070	0.200
0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	-0.035	0.000	8.727	-5.0000E-4	0.000	0.125	0.150	1.396	9.250	22.689	0.0200	0.132	0.325	0.150	0.035	0.349	3.491	5.0000E-4	0.005	0.050	0.150	0.192	2.269	15.708	0.0027	0.032	0.225	0.150	-0.017	0.175	3.491	-2.5000E-4	0.003	0.050	0.150	-2.007	-0.873	52.360	-0.0288	-0.013	0.750	0.150	-0.698	-5.061	-15.708	-0.0100	-0.072	-0.225	0.150	0.855	5.760	15.708	0.0122	0.083	0.225
0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	-0.017	0.698	13.963	-2.5000E-4	0.010	0.200	0.200	1.885	10.472	24.435	0.0270	0.150	0.350	0.200	0.052	0.698	12.217	7.5000E-4	0.010	0.175	0.200	0.332	3.142	13.963	0.0047	0.045	0.200	0.200	0.000	0.175	-1.745	0.0000	0.003	-0.025	0.200	-2.007	0.175	8.727	-0.0288	0.003	0.125	0.200	-0.977	-5.760	-12.217	-0.0140	-0.083	-0.175	0.200	1.169	6.458	10.472	0.0168	0.093	0.150
0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.035	1.396	15.708	5.0000E-4	0.020	0.225	0.250	2.443	11.694	24.435	0.0350	0.167	0.350	0.250	0.105	1.571	15.708	0.0015	0.022	0.225	0.250	0.506	3.665	12.217	0.0072	0.052	0.175	0.250	0.000	0.000	-1.745	0.0000	0.000	-0.025	0.250	-1.990	0.000	-6.981	-0.0285	0.000	-0.100	0.250	-1.274	-6.283	-12.217	-0.0183	-0.090	-0.175	0.250	1.501	6.807	10.472	0.0215	0.097	0.150
0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.122	2.269	17.453	0.0018	0.032	0.250	0.300	3.054	12.915	22.689	0.0438	0.185	0.325	0.300	0.209	2.269	13.963	0.0030	0.032	0.200	0.300	0.698	4.363	13.963	0.0100	0.062	0.200	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	-2.007	-0.524	-12.217	-0.0288	-0.008	-0.175	0.300	-1.606	-6.981	-13.963	-0.0230	-0.100	-0.200	0.300	1.850	7.505	13.963	0.0265	0.107	0.200
0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.262	3.142	15.708	0.0037	0.045	0.225	0.350	3.735	13.963	20.944	0.0535	0.200	0.300	0.350	0.332	2.967	15.708	0.0047	0.043	0.225	0.350	0.942	5.061	12.217	0.0135	0.073	0.175	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	-2.042	-1.222	-20.944	-0.0293	-0.017	-0.300	0.350	-1.972	-7.679	-13.963	-0.0283	-0.110	-0.200	0.350	2.251	8.203	12.217	0.0323	0.118	0.175
0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.436	3.840	13.963	0.0062	0.055	0.200	0.400	4.451	15.010	24.435	0.0637	0.215	0.350	0.400	0.506	3.840	13.963	0.0072	0.055	0.200	0.400	1.204	5.585	12.217	0.0173	0.080	0.175	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	-2.129	-2.618	-33.161	-0.0305	-0.038	-0.475	0.400	-2.374	-8.378	-13.963	-0.0340	-0.120	-0.200	0.400	2.670	8.727	10.472	0.0383	0.125	0.150
0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.646	4.538	13.963	0.0092	0.065	0.200	0.450	5.236	16.406	24.435	0.0750	0.235	0.350	0.450	0.716	4.363	12.217	0.0103	0.063	0.175	0.450	1.501	6.283	12.217	0.0215	0.090	0.175	0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	-2.304	-4.538	-40.143	-0.0330	-0.065	-0.575	0.450	-2.810	-9.076	-13.963	-0.0403	-0.130	-0.200	0.450	3.124	9.250	10.472	0.0447	0.133	0.150
