Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.262			0.0037		
0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	-0.017	-0.175		-2.5000E-4	-0.003		0.050	0.576	6.981		0.0083	0.100	
0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	-0.017	-0.175	1.745	-2.5000E-4	-0.002	0.025	0.100	0.960	8.203	22.689	0.0137	0.117	0.325
0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	-0.035	0.000	8.727	-5.0000E-4	0.000	0.125	0.150	1.396	9.250	22.689	0.0200	0.132	0.325
0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	-0.017	0.698	13.963	-2.5000E-4	0.010	0.200	0.200	1.885	10.472	24.435	0.0270	0.150	0.350
0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.035	1.396	15.708	5.0000E-4	0.020	0.225	0.250	2.443	11.694	24.435	0.0350	0.167	0.350
0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.122	2.269	17.453	0.0018	0.032	0.250	0.300	3.054	12.915	22.689	0.0438	0.185	0.325
0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.262	3.142	15.708	0.0037	0.045	0.225	0.350	3.735	13.963	20.944	0.0535	0.200	0.300
0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.436	3.840	13.963	0.0062	0.055	0.200	0.400	4.451	15.010	24.435	0.0637	0.215	0.350
