Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0	0			0			0	0			0			0	0.838			0.012			0	0			0			0	0.017			2.50E-04		
0.05	0	0		0	0		0.05	0	0		0	0		0.05	1.833	21.293		0.0262	0.305		0.05	0.017	0.175		2.50E-04	0.003		0.05	0.035	0.349		5.00E-04	0.005	
0.1	0	0	1.745	0	0	0.025	0.1	0	0	0	0	0	0	0.1	2.967	23.736	48.869	0.0425	0.34	0.7	0.1	0.017	0.175	1.745	2.50E-04	0.002	0.025	0.1	0.052	0.349	-1.11E-15	7.50E-04	0.005	0
0.15	0	0.175	5.236	0	0.003	0.075	0.15	0	0	1.745	0	0	0.025	0.15	4.206	26.18	50.615	0.0603	0.375	0.725	0.15	0.035	0.349	5.236	5.00E-04	0.005	0.075	0.15	0.07	0.349	2.22E-15	0.001	0.005	1.74E-17
0.2	0.017	0.524	5.236	2.50E-04	0.008	0.075	0.2	0	0.175	1.745	0	0.003	0.025	0.2	5.585	28.798	52.36	0.08	0.413	0.75	0.2	0.052	0.698	20.944	7.50E-04	0.01	0.3	0.2	0.087	0.349	0	0.0013	0.005	-1.74E-17
0.25	0.052	0.698	1.745	7.50E-04	0.01	0.025	0.25	0.017	0.175	-1.745	2.50E-04	0.002	-0.025	0.25	7.086	31.416	50.615	0.1015	0.45	0.725	0.25	0.105	2.443	43.633	0.0015	0.035	0.625	0.25	0.105	0.349	3.491	0.0015	0.005	0.05
0.3	0.087	0.698	-3.491	0.0013	0.01	-0.05	0.3	0.017	0	1.11E-15	2.50E-04	0	1.30E-17	0.3	8.727	33.859	47.124	0.125	0.485	0.675	0.3	0.297	5.061	50.615	0.0042	0.072	0.725	0.3	0.122	0.698	13.963	0.0018	0.01	0.2
0.35	0.122	0.349	-6.981	0.0018	0.005	-0.1	0.35	0.017	0.175	1.745	2.50E-04	0.003	0.025	0.35	10.472	36.128	48.869	0.15	0.517	0.7	0.35	0.611	7.505	48.869	0.0088	0.108	0.7	0.35	0.175	1.745	24.435	0.0025	0.025	0.35
0.4	0.122	0	-3.491	0.0018	0	-0.05	0.4	0.035	0.175	-1.745	5.00E-04	0.003	-0.025	0.4	12.339	38.746	50.615	0.1767	0.555	0.725	0.4	1.047	9.948	50.615	0.015	0.143	0.725	0.4	0.297	3.142	33.161	0.0042	0.045	0.475
0.45	0.122	0	1.745	0.0018	0	0.025	0.45	0.035	0	-1.745	5.00E-04	0	-0.025	0.45	14.347	41.19	47.124	0.2055	0.59	0.675	0.45	1.606	12.566	52.36	0.023	0.18	0.75	0.45	0.489	5.061	45.379	0.007	0.073	0.65
