Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.017			2.5000E-4			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.017			2.5000E-4		
0.050	0.000	0.000		0.0000	0.000		0.050	0.017	0.000		2.5000E-4	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	-0.017	-0.175		-2.5000E-4	-0.003		0.050	0.017	-0.175		2.5000E-4	-0.003	
0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.017	0.175	1.745	2.5000E-4	0.002	0.025	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	-0.017	-0.175	0.000	-2.5000E-4	-0.002	0.000	0.100	0.000	-0.175	1.745	0.0000	-0.002	0.025
0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.035	0.175	-1.745	5.0000E-4	0.003	-0.025	0.150	0.000	0.000	1.745	0.0000	0.000	0.025	0.150	-0.035	-0.175	3.491	-5.0000E-4	-0.003	0.050	0.150	0.000	0.000	3.491	0.0000	0.000	0.050
0.200	0.000	0.000	3.491	0.0000	0.000	0.050	0.200	0.035	0.000	1.745	5.0000E-4	0.000	0.025	0.200	0.000	0.175	5.236	0.0000	0.003	0.075	0.200	-0.035	0.175	5.236	-5.0000E-4	0.003	0.075	0.200	0.000	0.175	5.236	0.0000	0.003	0.075
0.250	0.000	0.349	8.727	0.0000	0.005	0.125	0.250	0.035	0.349	6.981	5.0000E-4	0.005	0.100	0.250	0.017	0.524	6.981	2.5000E-4	0.007	0.100	0.250	-0.017	0.349	5.236	-2.5000E-4	0.005	0.075	0.250	0.017	0.524	5.236	2.5000E-4	0.007	0.075
0.300	0.035	0.873	8.727	5.0000E-4	0.012	0.125	0.300	0.070	0.698	6.981	0.0010	0.010	0.100	0.300	0.052	0.873	6.981	7.5000E-4	0.012	0.100	0.300	0.000	0.698	6.981	0.0000	0.010	0.100	0.300	0.052	0.698	5.236	7.5000E-4	0.010	0.075
0.350	0.087	1.222	6.981	0.0013	0.018	0.100	0.350	0.105	1.047	6.981	0.0015	0.015	0.100	0.350	0.105	1.222	5.236	0.0015	0.018	0.075	0.350	0.052	1.047	6.981	7.5000E-4	0.015	0.100	0.350	0.087	1.047	6.981	0.0013	0.015	0.100
0.400	0.157	1.571	6.981	0.0023	0.023	0.100	0.400	0.175	1.396	5.236	0.0025	0.020	0.075	0.400	0.175	1.396	5.236	0.0025	0.020	0.075	0.400	0.105	1.396	6.981	0.0015	0.020	0.100	0.400	0.157	1.396	6.981	0.0023	0.020	0.100
0.450	0.244	1.920	6.981	0.0035	0.028	0.100	0.450	0.244	1.571	5.236	0.0035	0.023	0.075	0.450	0.244	1.745	8.727	0.0035	0.025	0.125	0.450	0.192	1.745	6.981	0.0027	0.025	0.100	0.450	0.227	1.745	8.727	0.0033	0.025	0.125
0.500	0.349	2.269	6.981	0.0050	0.032	0.100	0.500	0.332	1.920	6.981	0.0047	0.027	0.100	0.500	0.349	2.269	6.981	0.0050	0.032	0.100	0.500	0.279	2.094	6.981	0.0040	0.030	0.100	0.500	0.332	2.269	6.981	0.0047	0.032	0.100
0.550	0.471	2.618	5.236	0.0067	0.037	0.075	0.550	0.436	2.269	6.981	0.0062	0.032	0.100	0.550	0.471	2.443	5.236	0.0067	0.035	0.075	0.550	0.401	2.443	5.236	0.0057	0.035	0.075	0.550	0.454	2.443	3.491	0.0065	0.035	0.050
0.600	0.611	2.793	5.236	0.0088	0.040	0.075	0.600	0.559	2.618	6.981	0.0080	0.038	0.100	0.600	0.593	2.793	6.981	0.0085	0.040	0.100	0.600	0.524	2.618	5.236	0.0075	0.038	0.075	0.600	0.576	2.618	5.236	0.0083	0.038	0.075
0.650	0.750	3.142	6.981	0.0108	0.045	0.100	0.650	0.698	2.967	6.981	0.0100	0.043	0.100	0.650	0.750	3.142	6.981	0.0108	0.045	0.100	0.650	0.663	2.967	8.727	0.0095	0.043	0.125	0.650	0.716	2.967	6.981	0.0103	0.043	0.100
0.700	0.925	3.491	6.981	0.0132	0.050	0.100	0.700	0.855	3.316	6.981	0.0122	0.048	0.100	0.700	0.908	3.491	6.981	0.0130	0.050	0.100	0.700	0.820	3.491	8.727	0.0117	0.050	0.125	0.700	0.873	3.316	6.981	0.0125	0.047	0.100
0.750	1.100	3.840	6.981	0.0158	0.055	0.100	0.750	1.030	3.665	6.981	0.0147	0.053	0.100	0.750	1.100	3.840	6.981	0.0158	0.055	0.100	0.750	1.012	3.840	5.236	0.0145	0.055	0.075	0.750	1.047	3.665	6.981	0.0150	0.053	0.100
0.800	1.309	4.189	6.981	0.0188	0.060	0.100	0.800	1.222	4.014	5.236	0.0175	0.057	0.075	0.800	1.292	4.189	6.981	0.0185	0.060	0.100	0.800	1.204	4.014	5.236	0.0173	0.057	0.075	0.800	1.239	4.014	6.981	0.0178	0.057	0.100
0.850	1.518	4.538	6.981	0.0218	0.065	0.100	0.850	1.431	4.189	5.236	0.0205	0.060	0.075	0.850	1.518	4.538	5.236	0.0218	0.065	0.075	0.850	1.414	4.363	5.236	0.0203	0.062	0.075	0.850	1.449	4.363	6.981	0.0208	0.062	0.100
0.900	1.763	4.887	5.236	0.0253	0.070	0.075	0.900	1.641	4.538	6.981	0.0235	0.065	0.100	0.900	1.745	4.712	5.236	0.0250	0.068	0.075	0.900	1.641	4.538	5.236	0.0235	0.065	0.075	0.900	1.676	4.712	5.236	0.0240	0.068	0.075
